field,dataref
sim_time,sim/time/total_flight_time_sec
agl_ft,sim/flightmodel/position/y_agl
ias_kias,sim/flightmodel/position/indicated_airspeed
groundspeed_kt,sim/flightmodel/position/groundspeed
vvi_fpm,sim/flightmodel/position/vh_ind_fpm
heading_true_deg,sim/flightmodel/position/psi
bank_deg,sim/flightmodel/position/phi
pitch_deg,sim/flightmodel/position/theta
beta_deg,sim/flightmodel/position/beta
pitch_rate_raw,sim/flightmodel/position/Q
normal_g,sim/flightmodel/forces/g_nrml
throttle_ratio,sim/cockpit2/engine/actuators/throttle_ratio_all
flap_handle_ratio,sim/cockpit2/controls/flap_ratio
elevator_trim_ratio,sim/cockpit2/controls/elevator_trim
flap_actual_ratio,sim/flightmodel2/controls/flap_handle_deploy_ratio
ground_any,sim/flightmodel2/gear/on_ground
mass_kg,sim/flightmodel/weight/m_total
engine_power_w,sim/flightmodel/engine/ENGN_power
fuel_flow_kg_s,sim/flightmodel/engine/ENGN_FF_
engine_rpm,sim/cockpit2/engine/indicators/engine_speed_rpm
aileron_input,sim/joystick/yoke_roll_ratio
elevator_input,sim/joystick/yoke_pitch_ratio
rudder_input,sim/joystick/yoke_heading_ratio
vertical_speed_mps,sim/flightmodel/position/local_vy
wind_speed_mps,sim/weather/aircraft/wind_now_speed_msc
wind_direction_true_deg,sim/weather/aircraft/wind_now_direction_degt
true_airspeed_mps,sim/flightmodel/position/true_airspeed
native_slip_deg,sim/cockpit2/gauges/indicators/slip_deg
override_path,sim/operation/override/override_planepath
runway_along_ft,
runway_cross_ft,
ground_track_true_deg,
elevation_msl_ft,
contact_latched,
first_sim_time,
first_along_ft,
first_cross_ft,
first_kias,
first_indicated_fpm,
first_physical_fpm,
first_pitch_deg,
first_normal_g,
first_local_wind_kt,
last_airborne_along_ft,
last_airborne_sim_time,
post_contact_max_g,
post_contact_max_agl_ft,
post_contact_air_frames,
predicted_cross_ft,
cross_accel_fps2,
telemetry_ready,
telemetry_version,
phase_id,
sequence,
bank_command,
pitch_command,
flap_command,
throttle_command,
turn_lead_ft,
desired_vertical_fps,
vertical_accel_fps2,
wind_pitch_rate_ff,
roundout_pitch_rate_command,
control_dt_s,
cut_sim_time,
roundout_sim_time,
reason_id,
native_running,
configured,
native_version,
entry_gate_s,
config_token,
native_steps,
heartbeat_age_s,
run_token,
