time,phase,along_m,cross_m,elevation_m,agl_m,height_ft,ias,eas,groundspeed_kt,pitch,bank,alpha,vy,gamma,gamma_cmd,h_cmd,yoke,roll,rudder,speedbrake,speedbrake_actual,Q,mass,nz,main_wow,nose_wow,gear_cmd,gear0,gear1,gear2,chute,brakes,derotating,local_vy
0.003746,1.000000,-8483.588867,-11.120764,2965.402299,2265.489014,7433.715820,0.004152,0.000000,325.841886,-12.000010,-0.000031,7.990575,-62.312748,-20.391779,-20.544558,2255.737793,-0.025145,0.048274,-0.000015,0.000000,0.000000,-0.004675,83461.023438,1.709828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.136978
0.060205,1.000000,-8474.614258,-11.100892,2961.898314,2261.984131,7422.828613,2.004000,298.617554,326.065706,-12.005690,0.018707,7.845617,-61.915920,-20.259733,-20.541391,2252.471436,-0.077105,0.019963,0.000360,0.028229,0.001320,-0.207073,83461.023438,1.783873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.717152
0.113607,1.000000,-8465.587891,-11.081192,2958.606357,2258.691895,7411.922852,6.618845,298.603577,326.285996,-12.024916,0.043717,7.688732,-61.496777,-20.121128,-20.538939,2249.186035,-0.117566,0.017129,0.000325,0.054930,0.005265,-0.506269,83461.023438,1.803727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.299896
0.164494,1.000000,-8457.141602,-11.063010,2955.490255,2255.574951,7401.793945,12.973901,298.583588,326.486147,-12.059678,0.067580,7.522067,-61.099918,-19.990314,-20.537903,2246.111816,-0.146092,0.016470,0.000250,0.080374,0.011186,-0.844119,83461.023438,1.797277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.898949
0.217604,1.000000,-8448.192383,-11.043990,2952.259618,2252.343506,7391.141113,21.201874,298.561432,326.690450,-12.115105,0.091807,7.331530,-60.686008,-19.854068,-20.538120,2242.854492,-0.169875,0.016038,0.000168,0.106929,0.019378,-1.222069,83461.023438,1.776172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.487732
0.268622,1.000000,-8439.606445,-11.025959,2949.176417,2249.260010,7380.996094,30.270842,298.541656,326.877994,-12.187539,0.114372,7.133708,-60.301643,-19.727611,-20.539577,2239.729492,-0.186634,0.015654,0.000091,0.132438,0.029003,-1.593793,83461.023438,1.742457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.105988
0.319282,1.000000,-8431.126953,-11.008341,2946.133614,2246.216309,7371.046387,40.113113,298.526459,327.054476,-12.278108,0.136124,6.924690,-59.940250,-19.608654,-20.542166,2236.643311,-0.198059,0.015274,0.000016,0.157768,0.040091,-1.956666,83461.023438,1.699965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.745567
0.370211,1.000000,-8422.568359,-10.990726,2943.092223,2243.174316,7361.067871,50.603535,298.521515,327.222207,-12.386592,0.157379,6.708427,-59.607521,-19.498801,-20.545847,2233.528320,-0.168587,0.014858,-0.000059,0.183232,0.052624,-2.264511,83461.023438,1.599449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.418827
0.425928,1.000000,-8413.100586,-10.971414,2939.782216,2239.863525,7350.096191,62.518726,298.537903,327.392459,-12.519601,0.179988,6.475774,-59.298996,-19.396098,-20.551033,2230.082275,-0.145733,0.014392,-0.000139,0.211091,0.067773,-2.480655,83461.023438,1.498820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.119194
0.482417,1.000000,-8403.759766,-10.952515,2936.441905,2236.540039,7339.329102,74.848633,298.568970,327.545657,-12.663996,0.202237,6.245529,-59.042797,-19.310152,-20.557106,2226.682373,-0.132538,0.013946,-0.000216,0.239335,0.084502,-2.612741,83461.023438,1.421677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.862965
0.534073,1.000000,-8395.057617,-10.935025,2933.399089,2233.509766,7329.341797,86.183922,298.606720,327.676164,-12.801085,0.222001,6.040472,-58.837463,-19.240842,-20.563494,2223.515137,-0.126118,0.013560,-0.000280,0.265163,0.100881,-2.684403,83461.023438,1.364559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.661308
0.588028,1.000000,-8385.958984,-10.916842,2930.231197,2230.354980,7318.938965,97.955734,298.652344,327.800769,-12.947275,0.242056,5.832043,-58.650440,-19.177398,-20.570827,2220.203613,-0.123053,0.013179,-0.000340,0.292141,0.118974,-2.727687,83461.023438,1.314971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.477524
0.642503,1.000000,-8376.787109,-10.898605,2927.042135,2227.178955,7308.486816,109.659554,298.702026,327.914399,-13.096604,0.261699,5.627580,-58.485760,-19.121322,-20.578800,2216.865234,-0.122343,0.012857,-0.000401,0.319379,0.138166,-2.750808,83461.023438,1.272114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.315315
0.696678,1.000000,-8367.652344,-10.880527,2923.878799,2224.028809,7298.108887,121.031631,298.753632,328.016195,-13.245979,0.280597,5.430102,-58.342308,-19.072323,-20.587275,2213.540527,-0.123060,0.012538,-0.000471,0.346466,0.158080,-2.761594,83461.023438,1.234226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.174202
0.749872,1.000000,-8358.802734,-10.863084,2920.779664,2220.942627,7288.080078,131.873611,298.805237,328.104672,-13.393011,0.298597,5.241724,-58.220848,-19.030714,-20.595907,2210.319336,-0.124579,0.012195,-0.000529,0.373063,0.178354,-2.765249,83461.023438,1.200438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.053257
0.802630,1.000000,-8349.908203,-10.845613,2917.711831,2217.887207,7278.023438,142.263412,298.857574,328.183600,-13.538902,0.315936,5.060148,-58.114662,-18.994255,-20.604977,2207.082031,-0.126572,0.011862,-0.000579,0.399442,0.199096,-2.764792,83461.023438,1.169038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.949123
0.853976,1.000000,-8341.081055,-10.828321,2914.730984,2214.918701,7268.060547,151.994720,298.909729,328.252383,-13.680799,0.332334,4.888294,-58.023911,-18.963024,-20.614275,2203.869385,-0.128794,0.011547,-0.000620,0.411841,0.219531,-2.762032,83461.023438,1.139961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.861893
0.906746,1.000000,-8332.278320,-10.811119,2911.671754,2211.872314,7258.143066,161.584702,298.961365,328.311764,-13.826445,0.348713,4.716515,-57.947132,-18.936540,-20.623848,2200.665283,-0.131221,0.011233,-0.000656,0.413648,0.238934,-2.758079,83461.023438,1.111799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.785961
0.961795,1.000000,-8323.149414,-10.793312,2908.484269,2208.697998,7247.871582,171.129349,299.015228,328.364085,-13.978153,0.365301,4.542350,-57.881351,-18.913773,-20.634012,2197.342773,-0.133775,0.010918,-0.000688,0.415533,0.257297,-2.753868,83461.023438,1.083541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.720974
1.025212,1.000000,-8314.075195,-10.775638,2904.816169,2205.044922,7237.673340,181.548889,299.069000,328.407301,-14.152639,0.383797,4.347829,-57.829487,-18.895718,-20.644323,2194.040039,-0.136676,0.010575,-0.000718,0.417415,0.276349,-2.749480,83461.023438,1.053761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.663364
1.077944,1.000000,-8303.396484,-10.754862,2901.768444,2202.010010,7225.684570,189.706314,299.132202,328.447461,-14.297556,0.398700,4.190941,-57.785027,-18.880075,-20.656668,2190.153320,-0.138941,0.010283,-0.000738,0.419627,0.290625,-2.747126,83461.023438,1.025963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.629391
1.129352,1.000000,-8294.680664,-10.737916,2898.798645,2199.052490,7215.905273,197.236237,299.184387,328.471961,-14.438741,0.412814,4.042058,-57.762005,-18.871777,-20.666861,2186.980957,-0.141052,0.010015,-0.000754,0.421453,0.303348,-2.745679,83461.023438,1.001400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.608074
1.183573,1.000000,-8285.467773,-10.720010,2895.667187,2195.934326,7205.573242,204.732635,299.240173,328.490232,-14.587596,0.427284,3.889228,-57.750214,-18.867222,-20.677719,2183.627686,-0.143167,0.009741,-0.000768,0.423406,0.315611,-2.745100,83461.023438,0.976033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.597965
1.235922,1.000000,-8276.750000,-10.703067,2892.644044,2192.923828,7195.797363,211.551239,299.293060,328.500613,-14.731312,0.440855,3.745608,-57.750633,-18.866796,-20.688026,2180.454590,-0.145111,0.009486,-0.000778,0.425257,0.326441,-2.745370,83461.023438,0.952277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.599949
1.288431,1.000000,-8267.896484,-10.685853,2889.611249,2189.903809,7185.868164,217.986755,299.347748,328.504440,-14.875494,0.454092,3.605325,-57.762344,-18.870147,-20.698484,2177.232178,-0.146960,0.009243,-0.000787,0.427171,0.336408,-2.746454,83461.023438,0.928831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.613304
1.340041,1.000000,-8259.234375,-10.669004,2886.629408,2186.934326,7176.150879,223.931076,299.402130,328.501948,-15.017287,0.466734,3.470983,-57.784580,-18.877030,-20.708689,2174.079590,-0.148689,0.009011,-0.000796,0.429075,0.345422,-2.748234,83461.023438,0.906312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.637283
1.390752,1.000000,-8250.566406,-10.652131,2883.698036,2184.015137,7166.421875,229.417862,299.457520,328.493406,-15.156713,0.478819,3.342314,-57.817299,-18.887417,-20.718821,2170.924561,-0.150301,0.008786,-0.000802,0.431013,0.353598,-2.750658,83461.023438,0.884466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.671131
1.441123,1.000000,-8242.089844,-10.635618,2880.784367,2181.113770,7156.901855,234.535263,299.512299,328.479376,-15.295343,0.490506,3.217657,-57.859203,-18.900885,-20.728647,2167.839355,-0.151825,0.008569,-0.000807,0.432930,0.361120,-2.753651,83461.023438,0.863348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.714626
1.492672,1.000000,-8233.557617,-10.618981,2877.800030,2178.141846,7147.311523,239.444916,299.568024,328.459919,-15.437387,0.502150,3.093220,-57.911076,-18.917666,-20.738426,2164.733887,-0.153312,0.008354,-0.000810,0.434880,0.368263,-2.757241,83461.023438,0.842331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.769100
