time,phase,along_m,cross_m,elevation_m,agl_m,height_ft,ias,eas,groundspeed_kt,pitch,bank,alpha,vy,gamma,gamma_cmd,h_cmd,yoke,roll,rudder,speedbrake,speedbrake_actual,Q,mass,nz,main_wow,nose_wow,gear_cmd,gear0,gear1,gear2,chute,brakes,derotating,local_vy,radar_height_ft
0.005629,4.000000,-8483.588867,-11.120764,2965.285066,2265.371826,0.000000,0.009375,0.000000,325.841886,-12.000027,-0.000058,7.985833,-62.312748,-20.391779,-16.298019,2255.737793,0.421834,0.048396,-0.000005,0.002814,0.000000,-0.007060,83460.992188,1.709227,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.122871,7424.381348
0.055880,1.000000,-8482.646484,-11.118665,2962.155059,2262.241211,7432.601563,2.325743,298.620300,325.867810,-11.953387,0.028095,8.041885,-62.270592,-20.377630,-20.544703,2255.394775,-0.246912,0.003557,-0.001493,0.000000,0.000276,1.230642,83460.992188,0.961910,0.000000,0.000000,0.000000,0.015565,0.015830,0.025749,0.000000,0.000000,0.000000,-61.139042,7423.267090
0.111287,1.000000,-8466.036133,-11.082000,2958.722205,2258.807617,7412.355469,6.906145,298.492828,325.974203,-11.908556,0.059851,7.891776,-61.745815,-20.213794,-20.537762,2249.349121,-0.239626,0.013424,-0.001829,0.027703,0.001547,0.456835,83460.992188,2.073634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.530605,7403.020996
0.164944,1.000000,-8457.444336,-11.063344,2955.428645,2255.513428,7402.008789,13.524595,298.406006,326.187196,-11.904202,0.085843,7.716833,-61.212875,-20.041229,-20.535984,2246.221924,-0.247874,0.014554,-0.001667,0.054532,0.005437,-0.244506,83460.992188,2.026496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.976192,7400.993652
0.218913,1.000000,-8449.598633,-11.046485,2952.145342,2252.229248,7392.645508,21.892574,298.335541,326.374326,-11.936971,0.110414,7.513413,-60.750099,-19.891135,-20.535767,2243.366455,-0.241367,0.014479,-0.001506,0.081516,0.011656,-0.907595,83460.992188,1.966126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.449532,7391.629883
0.274706,1.000000,-8438.580078,-11.023063,2948.779248,2248.862549,7379.624512,31.825476,298.257416,326.624455,-12.005890,0.134790,7.281828,-60.150108,-19.695953,-20.537600,2239.355957,-0.256355,0.014145,-0.001369,0.109413,0.020394,-1.522901,83460.992188,1.878735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.949139,7378.609375
0.325990,1.000000,-8430.060547,-11.005125,2945.708658,2245.791260,7369.649902,41.827606,298.217285,326.806542,-12.097672,0.156399,7.055806,-59.735569,-19.560483,-20.540562,2236.255127,-0.209581,0.013798,-0.001270,0.135055,0.030215,-1.999198,83460.992188,1.747915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.538113,7368.634766
0.380521,1.000000,-8420.812500,-10.985795,2942.464549,2242.546387,7358.901367,53.085388,298.206390,326.990290,-12.217150,0.178637,6.816802,-59.361656,-19.437151,-20.545086,2232.889160,-0.172268,0.013405,-0.001186,0.162321,0.042360,-2.339660,83460.992188,1.617333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.175495,7357.928711
0.431833,1.000000,-8412.250000,-10.968013,2939.428586,2239.514404,7349.012207,64.082100,298.217438,327.147106,-12.343364,0.198891,6.595277,-59.071449,-19.340618,-20.550322,2229.772705,-0.150026,0.013038,-0.001123,0.187977,0.055179,-2.547077,83460.992188,1.522212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.888687,7348.039551
0.486693,1.000000,-8402.989258,-10.948879,2936.197410,2236.296631,7338.371582,76.015854,298.245178,327.302795,-12.487366,0.219872,6.364192,-58.805702,-19.251543,-20.556904,2226.402100,-0.136034,0.012668,-0.001068,0.215407,0.070315,-2.683593,83460.992188,1.442391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.628551,7337.398926
0.541973,1.000000,-8393.668945,-10.929708,2932.954796,2233.067383,7327.712891,88.091537,298.284027,327.446027,-12.638290,0.240321,6.137539,-58.576904,-19.174344,-20.564365,2223.009766,-0.128420,0.012305,-0.001020,0.243047,0.086860,-2.764724,83460.992188,1.378430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.403778,7326.740234
0.595463,1.000000,-8384.658203,-10.911242,2929.828133,2229.953369,7317.449219,99.688797,298.328491,327.572530,-12.787556,0.259475,5.924386,-58.385353,-19.109353,-20.572266,2219.729980,-0.124961,0.011970,-0.000980,0.269792,0.103985,-2.809336,83460.992188,1.327263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.215149,7316.528320
0.646255,1.000000,-8376.125977,-10.893809,2926.868012,2227.005615,7307.764648,110.556816,298.374390,327.681711,-12.930947,0.277101,5.727471,-58.226059,-19.055091,-20.580309,2216.624512,-0.123933,0.011656,-0.000944,0.295187,0.121110,-2.832210,83460.992188,1.285452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.057716,7306.843750
0.701533,1.000000,-8366.808594,-10.874815,2923.654864,2223.805664,7297.219238,122.102623,298.426697,327.789587,-13.087901,0.295666,5.519315,-58.073689,-19.003002,-20.589607,2213.233398,-0.124374,0.011397,-0.000926,0.322826,0.140673,-2.843739,83460.992188,1.245016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.907639,7296.298340
0.758610,1.000000,-8357.497070,-10.855877,2920.345158,2220.510010,7286.710449,133.644958,298.481567,327.886073,-13.250348,0.314175,5.310942,-57.941532,-18.957669,-20.599398,2209.844238,-0.125832,0.011079,-0.000913,0.351365,0.161782,-2.847142,83460.992188,1.207646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.773476,7285.901855
0.812280,1.000000,-8349.842773,-10.840334,2917.239553,2217.416992,7278.090820,144.132263,298.527496,327.957288,-13.403131,0.331012,5.120784,-57.846550,-18.924988,-20.607769,2207.058350,-0.127779,0.010785,-0.000901,0.378200,0.182322,-2.845532,83460.992188,1.176741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.664642,7277.282227
0.863426,1.000000,-8339.612305,-10.819584,2914.284956,2214.474854,7266.593262,153.720596,298.588715,328.041169,-13.548584,0.346586,4.944726,-57.737297,-18.887294,-20.619347,2203.334717,-0.129899,0.010494,-0.000890,0.400605,0.202535,-2.841848,83460.992188,1.144532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.575790,7265.784668
0.915591,1.000000,-8330.870117,-10.801868,2911.275789,2211.478271,7256.786621,163.095627,298.641296,328.102833,-13.696687,0.362005,4.770129,-57.659359,-18.860308,-20.629551,2200.152832,-0.132240,0.010218,-0.000878,0.402445,0.222300,-2.836705,83460.992188,1.115731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.499115,7255.978027
0.970600,1.000000,-8321.500977,-10.782890,2908.106472,2208.322021,7246.291504,172.521072,298.698181,328.159189,-13.852575,0.377767,4.591250,-57.590691,-18.836424,-20.640739,2196.742676,-0.134755,0.009935,-0.000867,0.404436,0.241216,-2.831023,83460.992188,1.086325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.432880,7245.668945
1.021240,1.000000,-8313.084961,-10.765844,2905.191745,2205.419189,7236.875000,180.777557,298.749084,328.201604,-13.995810,0.391848,4.431171,-57.541645,-18.819251,-20.650984,2193.679443,-0.137040,0.009682,-0.000856,0.406218,0.257061,-2.826156,83460.992188,1.060364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.384697,7236.252930
1.072661,1.000000,-8304.435547,-10.748322,2902.234236,2202.474121,7227.206055,188.747177,298.801636,328.237552,-14.141015,0.405735,4.272970,-57.503330,-18.805687,-20.661667,2190.531494,-0.139287,0.009434,-0.000846,0.408057,0.271764,-2.821925,83460.992188,1.034548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.347965,7226.583984
1.122811,1.000000,-8295.903320,-10.731027,2899.351341,2199.603516,7217.674316,196.119064,298.854065,328.265641,-14.282445,0.418900,4.122764,-57.477261,-18.796264,-20.672314,2187.426025,-0.141384,0.009199,-0.000836,0.409892,0.284888,-2.818653,83460.992188,1.009834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.323719,7217.052246
1.174384,1.000000,-8287.264648,-10.713502,2896.387604,2196.652344,7208.027344,203.295578,298.907471,328.287027,-14.427742,0.432056,3.972350,-57.462467,-18.790628,-20.683167,2184.281738,-0.143442,0.008962,-0.000826,0.411762,0.297258,-2.816180,83460.992188,0.985135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.310425,7207.603027
1.224999,1.000000,-8278.713867,-10.696141,2893.479290,2193.756104,7198.481445,209.947144,298.960876,328.301442,-14.570246,0.444606,3.828597,-57.459080,-18.788831,-20.693966,2181.169434,-0.145359,0.008739,-0.000817,0.413630,0.308395,-2.814648,83460.992188,0.961322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.308632,7198.056641
1.275712,1.000000,-8270.132813,-10.678696,2890.565150,2190.854248,7188.900879,216.233841,299.014923,328.309391,-14.712964,0.456832,3.688288,-57.466702,-18.790725,-20.704802,2178.046143,-0.147182,0.008522,-0.000807,0.415522,0.318657,-2.813948,83460.992188,0.937944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.317776,7188.476563
1.326609,1.000000,-8261.523438,-10.661172,2887.639689,2187.941162,7179.288086,222.175476,299.070099,328.311022,-14.856187,0.468760,3.551084,-57.485199,-18.796262,-20.715668,2174.912598,-0.148921,0.008316,-0.000800,0.417453,0.328143,-2.814002,83460.992188,0.914981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.337727,7178.863281
1.378533,1.000000,-8253.047852,-10.643895,2884.653864,2184.967773,7169.819336,227.871872,299.125275,328.306603,-15.002323,0.480587,3.414727,-57.513809,-18.805195,-20.726301,2171.827881,-0.150607,0.008107,-0.000793,0.419385,0.337066,-2.814786,83460.992188,0.892386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.368961,7169.533203
1.433279,1.000000,-8243.504883,-10.624411,2881.503692,2181.830811,7159.152344,233.492310,299.187714,328.294887,-15.156474,0.492705,3.274776,-57.558117,-18.819287,-20.738184,2168.354492,-0.152287,0.007892,-0.000786,0.421570,0.345733,-2.816394,83460.992188,0.868422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.413582,7158.866211
1.487381,1.000000,-8234.484375,-10.605960,2878.387854,2178.728271,7149.060059,238.680222,299.248260,328.277268,-15.308906,0.504334,3.140196,-57.611485,-18.836446,-20.749283,2165.071289,-0.153866,0.007688,-0.000779,0.423689,0.353631,-2.818624,83460.992188,0.845720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.469131,7148.773926
1.537672,1.000000,-8225.949219,-10.588470,2875.488551,2175.841064,7139.500977,243.187714,299.306519,328.254993,-15.450727,0.514844,3.018305,-57.672062,-18.856043,-20.759640,2161.964600,-0.155258,0.007502,-0.000772,0.425729,0.360441,-2.821267,83460.992188,0.824912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.530804,7139.214844
1.593349,1.000000,-8216.598633,-10.569270,2872.274829,2172.640625,7129.014648,247.844055,299.371216,328.224472,-15.607910,0.526154,2.886851,-57.749432,-18.881179,-20.770769,2158.561279,-0.156727,0.007302,-0.000765,0.427992,0.367450,-2.824729,83460.992188,0.802491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.610088,7128.912109
1.647515,1.000000,-8207.486328,-10.550522,2869.143755,2169.522705,7118.780273,252.057465,299.435822,328.188494,-15.760930,0.536846,2.763156,-57.836956,-18.909690,-20.781382,2155.244873,-0.148964,0.007112,-0.000759,0.430254,0.373787,-2.820804,83460.992188,0.767580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.700237,7118.677734
1.697846,1.000000,-8198.977539,-10.532981,2866.229478,2166.620361,7109.208008,255.705872,299.500366,328.146524,-15.901935,0.546517,2.655942,-57.938354,-18.942730,-20.791052,2152.147705,-0.137639,0.006929,-0.000753,0.432512,0.379306,-2.779082,83460.992188,0.727593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.804096,7109.105469
1.752417,1.000000,-8189.787109,-10.513998,2863.063258,2163.467285,7098.844727,259.388885,299.574310,328.092690,-16.051416,0.556723,2.549391,-58.067657,-18.984874,-20.801130,2148.802734,-0.127005,0.006742,-0.000747,0.435100,0.384945,-2.698592,83460.992188,0.691761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56.936012,7098.742188
1.804797,1.000000,-8180.958496,-10.495729,2860.016953,2160.433350,7088.864746,262.674896,299.647980,328.033872,-16.190037,0.566241,2.456941,-58.207428,-19.030454,-20.810431,2145.589355,-0.117957,0.006568,-0.000741,0.437680,0.390061,-2.597043,83460.992188,0.663818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.077801,7088.905273
1.859379,1.000000,-8171.777344,-10.476697,2856.834340,2157.263916,7078.456543,265.853027,299.727386,327.966394,-16.328262,0.575874,2.371152,-58.366318,-19.082293,-20.819639,2142.247803,-0.109582,0.006396,-0.000734,0.440459,0.395130,-2.472079,83460.992188,0.640105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.238777,7078.497070
1.914962,1.000000,-8162.401855,-10.457225,2853.584026,2154.026855,7067.794434,268.849548,299.810303,327.891946,-16.461617,0.585383,2.294762,-58.539753,-19.138906,-20.828510,2138.835449,-0.101749,0.006225,-0.000727,0.443361,0.400052,-2.332007,83460.992188,0.621046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.413540,7067.834961
1.970654,1.000000,-8153.031250,-10.437727,2850.317357,2150.773682,7057.102539,271.625275,299.894958,327.812900,-16.587147,0.594605,2.229169,-58.722046,-19.198441,-20.836807,2135.424805,-0.094601,0.006061,-0.000719,0.446324,0.404772,-2.183208,83460.992188,0.605654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.597351,7057.270508
2.020654,1.000000,-8144.569824,-10.420091,2847.375696,2147.843750,7047.415527,273.936890,299.972473,327.738333,-16.692667,0.602621,2.179346,-58.892624,-19.254169,-20.843790,2132.344971,-0.088474,0.005916,-0.000711,0.449037,0.408853,-2.045584,83460.992188,0.594985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.768085,7047.583984
2.075596,1.000000,-8135.333008,-10.400805,2844.133330,2144.614502,7036.804199,276.293335,300.057953,327.654067,-16.800604,0.611147,2.134199,-59.083889,-19.316676,-20.850826,2128.983154,-0.082359,0.005762,-0.000702,0.452029,0.413187,-1.891935,83460.992188,0.586585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.960518,7036.972656
2.131705,1.000000,-8125.933105,-10.381142,2840.811096,2141.305420,7025.966797,278.515259,300.145752,327.566093,-16.902096,0.619560,2.097997,-59.282219,-19.381508,-20.857363,2125.561768,-0.076626,0.005610,-0.000692,0.455102,0.417471,-1.735178,83460.992188,0.580709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.160561,7026.135254
2.181770,1.000000,-8117.496094,-10.363461,2837.837219,2138.343506,7016.205078,280.351257,300.224915,327.485653,-16.985266,0.626811,2.073724,-59.462345,-19.440405,-20.862669,2122.490967,-0.071640,0.005478,-0.000684,0.457872,0.421186,-1.596677,83460.992188,0.577918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.340977,7016.615723
2.237298,1.000000,-8108.159180,-10.343856,2834.528274,2135.047852,7005.362793,282.237274,300.313751,327.395811,-17.069469,0.634571,2.055210,-59.662842,-19.505963,-20.867916,2119.092529,-0.066556,0.005334,-0.000674,0.460981,0.425202,-1.445356,83460.992188,0.574846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.542183,7005.773926
2.293073,1.000000,-8098.807617,-10.324183,2831.193389,2131.726074,6994.463867,283.984100,300.402496,327.305227,-17.145697,0.642072,2.044963,-59.863903,-19.571716,-20.872522,2115.688965,-0.061857,0.005196,-0.000664,0.464087,0.429139,-1.297214,83460.992188,0.575587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.744267,6994.875000
2.344757,1.000000,-8090.146484,-10.305923,2828.093086,2128.637939,6984.332520,285.480682,300.484314,327.221287,-17.209074,0.648763,2.042401,-60.049389,-19.632380,-20.876188,2112.536621,-0.057727,0.005071,-0.000655,0.466951,0.432708,-1.164533,83460.992188,0.579768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.930519,6984.743652
2.394808,1.000000,-8081.654785,-10.287987,2825.081637,2125.638428,6974.366699,286.825623,300.566132,327.139483,-17.264021,0.655007,2.045913,-60.229725,-19.691357,-20.879246,2109.445801,-0.053698,0.004954,-0.000646,0.469814,0.436102,-1.039778,83460.992188,0.580683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.109547,6974.892578
2.450794,1.000000,-8072.268555,-10.268118,2821.702573,2122.272705,6963.312012,288.217316,300.655304,327.049819,-17.318226,0.661722,2.056292,-60.426991,-19.755864,-20.881994,2106.029541,-0.049868,0.004825,-0.000637,0.472936,0.439834,-0.905415,83460.992188,0.586776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.307373,6963.837891
2.506158,1.000000,-8062.993164,-10.248437,2818.350285,2118.933350,6952.349121,289.485199,300.743774,326.962438,-17.364614,0.668082,2.072719,-60.618752,-19.818568,-20.884075,2102.653564,-0.046431,0.004700,-0.000629,0.476032,0.443462,-0.778375,83460.992188,0.592583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.499783,6952.875000
