time,phase,along_m,cross_m,elevation_m,agl_m,height_ft,ias,eas,groundspeed_kt,pitch,bank,alpha,vy,gamma,gamma_cmd,h_cmd,yoke,roll,rudder,speedbrake,speedbrake_actual,Q,mass,nz,main_wow,nose_wow,gear_cmd,gear0,gear1,gear2,chute,brakes,derotating,local_vy,radar_height_ft
0.004412,1.000000,-8483.588867,-11.120764,2965.360783,2265.447510,7433.715820,0.005759,0.000000,325.841886,-12.000011,-0.000029,7.993370,-62.312748,-20.391779,-20.544558,2255.737793,-0.025171,0.048182,-0.000003,0.000000,0.000000,-0.004514,102530.015625,1.392094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.146168,7434.578125
0.054663,1.000000,-8482.850586,-11.119118,2962.238095,2262.324219,7432.850098,2.290090,298.625732,325.858437,-12.004109,0.027554,7.918787,-62.293861,-20.385156,-20.544794,2255.469238,-0.017213,0.005290,0.000461,0.025126,0.000000,-0.107140,102530.015625,1.411964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.943005,7433.712402
0.111428,1.000000,-8466.184570,-11.082413,2958.720627,2258.806152,7412.584473,7.033382,298.748810,326.191705,-12.014695,0.059260,7.826543,-61.887310,-20.243944,-20.538256,2249.403320,-0.068026,0.014653,0.000208,0.053508,0.004004,-0.270637,102530.015625,1.440059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.706676,7411.610352
0.167471,1.000000,-8456.659180,-11.061749,2955.261349,2255.345947,7401.068848,14.053025,298.812592,326.379576,-12.036034,0.085920,7.722321,-61.643032,-20.159815,-20.535631,2245.936279,-0.087434,0.015671,0.000121,0.081530,0.010560,-0.479444,102530.015625,1.441458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.465282,7400.095215
0.224318,1.000000,-8447.177734,-11.041395,2951.766109,2251.850098,7389.658691,22.969303,298.871918,326.562137,-12.070184,0.111488,7.604985,-61.401199,-20.076727,-20.533884,2242.485352,-0.101790,0.015505,0.000062,0.109953,0.019582,-0.708748,102530.015625,1.429542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60.222534,7388.684570
0.281299,1.000000,-8437.650391,-11.021142,2948.276305,2248.359619,7378.245117,33.290443,298.932312,326.740220,-12.117665,0.136127,7.476724,-61.165565,-19.995762,-20.532997,2239.017578,-0.112923,0.015151,0.000006,0.138444,0.030701,-0.940687,102530.015625,1.412790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.986847,7377.266602
0.337379,1.000000,-8428.395508,-11.001639,2944.854488,2244.937012,7367.206543,44.396027,298.992310,326.907447,-12.177240,0.159536,7.340903,-60.945930,-19.920230,-20.532932,2235.649170,-0.120333,0.014779,-0.000046,0.166484,0.043483,-1.166092,102530.015625,1.392243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.764606,7366.227539
0.391827,1.000000,-8419.180664,-10.982372,2941.543804,2241.625244,7356.260742,55.778511,299.054169,327.067823,-12.246906,0.181512,7.201070,-60.738819,-19.848859,-20.533623,2232.295166,-0.126390,0.014414,-0.000095,0.193708,0.057453,-1.376149,102530.015625,1.368501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.560539,7355.282227
0.444543,1.000000,-8410.440430,-10.964220,2938.348641,2238.437744,7345.917480,67.137238,299.114929,327.213902,-12.324924,0.202117,7.059241,-60.554527,-19.785169,-20.534918,2229.114014,-0.129580,0.014065,-0.000142,0.220066,0.072292,-1.567722,102530.015625,1.342471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.375504,7344.938477
0.495176,1.000000,-8401.930664,-10.946650,2935.288535,2235.389893,7335.881348,78.194000,299.176819,327.350163,-12.408971,0.221311,6.918118,-60.387829,-19.727334,-20.536753,2226.016602,-0.131826,0.013733,-0.000185,0.245382,0.087641,-1.737698,102530.015625,1.315663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.210667,7334.877930
0.549732,1.000000,-8392.656250,-10.927604,2932.000250,2232.114502,7324.979492,90.130714,299.247101,327.491645,-12.508662,0.241361,6.761959,-60.221653,-19.669374,-20.539352,2222.641113,-0.133585,0.013380,-0.000230,0.272660,0.105245,-1.902105,102530.015625,1.284111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59.048454,7323.976074
0.602219,1.000000,-8383.592773,-10.909080,2928.844570,2228.971436,7314.357910,101.510460,299.319946,327.622538,-12.612514,0.260066,6.608755,-60.075249,-19.617971,-20.542429,2219.342285,-0.134737,0.013048,-0.000271,0.298904,0.123134,-2.042136,102530.015625,1.254181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.907612,7313.354492
0.653948,1.000000,-8375.135742,-10.891866,2925.741277,2225.880615,7304.473633,112.536934,299.389618,327.738066,-12.721576,0.277958,6.455914,-59.952942,-19.574694,-20.545744,2216.264160,-0.133372,0.012730,-0.000309,0.324768,0.141584,-2.162162,102530.015625,1.222866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.783665,7303.470215
0.704601,1.000000,-8366.648438,-10.874648,2922.708331,2222.860107,7294.576660,123.083229,299.463501,327.847277,-12.833876,0.294975,6.305495,-59.844578,-19.535979,-20.549459,2213.175049,-0.132248,0.012424,-0.000345,0.350095,0.160362,-2.261822,102530.015625,1.194215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.676788,7293.758301
0.756888,1.000000,-8357.742188,-10.856633,2919.582804,2219.747070,7284.214355,133.659363,299.542480,327.954589,-12.954562,0.312042,6.150397,-59.746033,-19.500339,-20.553730,2209.933350,-0.131177,0.012112,-0.000379,0.376238,0.180407,-2.345745,102530.015625,1.162719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.581532,7283.395996
0.807112,1.000000,-8349.161133,-10.839318,2916.584892,2216.761475,7274.247559,143.478378,299.621765,328.050838,-13.074155,0.327968,6.002348,-59.665588,-19.470776,-20.558149,2206.810059,-0.129801,0.011821,-0.000410,0.401350,0.200237,-2.409522,102530.015625,1.134428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.503994,7273.429199
0.857624,1.000000,-8340.605469,-10.822087,2913.573347,2213.761719,7264.325684,152.992111,299.702148,328.139731,-13.197221,0.343542,5.855121,-59.599087,-19.445831,-20.562805,2203.696289,-0.127998,0.011539,-0.000439,0.426606,0.220690,-2.457144,102530.015625,1.105977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.439518,7263.507324
0.911798,1.000000,-8331.738281,-10.804259,2910.346675,2210.548096,7254.056641,162.766022,299.786591,328.223820,-13.331384,0.359759,5.699797,-59.543926,-19.424578,-20.567875,2200.468750,-0.125312,0.011247,-0.000469,0.442531,0.242947,-2.490939,102530.015625,1.077130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.384628,7253.394531
0.966461,1.000000,-8322.370117,-10.785450,2907.093469,2207.308105,7243.218262,172.174286,299.876923,328.304289,-13.468098,0.375575,5.546623,-59.500561,-19.407087,-20.573420,2197.059082,-0.123462,0.011051,-0.000521,0.445692,0.263834,-2.507386,102530.015625,1.048526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.343956,7242.556152
1.022861,1.000000,-8312.959961,-10.766584,2903.738785,2203.967041,7232.340820,181.389099,299.970032,328.377017,-13.609634,0.391360,5.392911,-59.471531,-19.394350,-20.579163,2193.634033,-0.120943,0.010768,-0.000570,0.448952,0.283455,-2.509394,102530.015625,1.021518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.316486,7231.679199
1.075963,1.000000,-8304.072266,-10.748787,2900.581303,2200.822021,7222.074219,189.602066,300.058929,328.438800,-13.742641,0.405773,5.252697,-59.456783,-19.386524,-20.584703,2190.399170,-0.118490,0.010494,-0.000611,0.452063,0.300329,-2.499083,102530.015625,0.996743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.303474,7221.412598
1.133925,1.000000,-8294.445313,-10.729522,2897.135222,2197.390137,7210.956055,198.072281,300.156891,328.498567,-13.886813,0.421031,5.105132,-59.454082,-19.382446,-20.590752,2186.895264,-0.115672,0.010198,-0.000651,0.455492,0.317173,-2.475359,102530.015625,0.971258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.302814,7210.446777
1.185570,1.000000,-8285.348633,-10.711324,2894.064419,2194.331787,7200.451660,205.173782,300.250671,328.548575,-14.013837,0.434224,4.978855,-59.463608,-19.382589,-20.596495,2183.584229,-0.113379,0.009944,-0.000681,0.458773,0.330937,-2.444650,102530.015625,0.948744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.313641,7199.942383
1.238317,1.000000,-8276.548828,-10.693724,2890.927221,2191.207520,7190.288574,212.014694,300.342285,328.591197,-14.141699,0.447312,4.855209,-59.483414,-19.386236,-20.602043,2180.381348,-0.110573,0.009690,-0.000708,0.461980,0.343920,-2.404913,102530.015625,0.927671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.335140,7189.779297
1.291225,1.000000,-8267.669922,-10.675962,2887.779027,2188.072021,7180.031738,218.469864,300.436829,328.628866,-14.267625,0.460058,4.736823,-59.513367,-19.393212,-20.607609,2177.149902,-0.107734,0.009445,-0.000732,0.465289,0.355963,-2.357438,102530.015625,0.907890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.366741,7179.676270
1.346066,1.000000,-8258.422852,-10.657458,2884.513762,2184.820068,7169.343262,224.747681,300.536163,328.662709,-14.395280,0.472877,4.620271,-59.554527,-19.403773,-20.613308,2173.784180,-0.104727,0.009198,-0.000753,0.468766,0.367519,-2.301147,102530.015625,0.888496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.409447,7168.987793
1.400228,1.000000,-8249.317383,-10.639226,2881.286359,2181.605713,7158.810547,230.550095,300.635437,328.691005,-14.518144,0.485152,4.511441,-59.604382,-19.417255,-20.618797,2170.469971,-0.101697,0.008960,-0.000770,0.472240,0.378108,-2.239364,102530.015625,0.870577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.460934,7158.455078
1.452111,1.000000,-8240.522461,-10.621603,2878.191924,2178.523926,7148.628906,235.753189,300.731720,328.713874,-14.632561,0.496563,4.413141,-59.660744,-19.432989,-20.623976,2167.269043,-0.098736,0.008740,-0.000783,0.475611,0.387566,-2.175110,102530.015625,0.854643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.518356,7148.273438
1.506500,1.000000,-8231.264648,-10.603038,2874.944615,2175.289795,7137.901855,240.851624,300.834320,328.733539,-14.748796,0.508167,4.316415,-59.728176,-19.452229,-20.629278,2163.899414,-0.095588,0.008517,-0.000795,0.479201,0.396841,-2.103043,102530.015625,0.839072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.586483,7137.741699
1.557607,1.000000,-8222.654297,-10.585750,2871.889692,2172.247070,7127.912109,245.330154,300.930267,328.748073,-14.854338,0.518739,4.231408,-59.797672,-19.472364,-20.634005,2160.765381,-0.092638,0.008316,-0.000803,0.482560,0.405016,-2.031897,102530.015625,0.825869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.657177,7127.751953
1.610134,1.000000,-8213.589844,-10.567527,2868.745955,2169.115967,7117.382813,249.633133,301.033173,328.759700,-14.958933,0.529278,4.149976,-59.877274,-19.495694,-20.638781,2157.466309,-0.089404,0.008109,-0.000809,0.486161,0.412928,-1.955830,102530.015625,0.812596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.736061,7117.222656
1.673234,1.000000,-8204.393555,-10.549016,2864.963678,2165.348877,7106.686523,254.426056,301.137634,328.767945,-15.079155,0.541512,4.060110,-59.964417,-19.521470,-20.643404,2154.119141,-0.087493,0.007886,-0.000815,0.489817,0.421863,-1.860740,102530.015625,0.800200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-58.838493,7106.525879
